sentence1,sentence2,condition,label
Donuts made into the shape of a six with candles in them sitting in front of a little boy.,A custom made chocolate birthday cake with candles lit next to a bottle of wine.,The name of the object.,4
Donuts made into the shape of a six with candles in them sitting in front of a little boy.,A custom made chocolate birthday cake with candles lit next to a bottle of wine.,The place of the object.,3
A baseball player holding a bat at home plate in front of the umpire and catcher.,A professional baseball game and the left handed batter has just let the pitch go by.,The name of the game.,3
A baseball player holding a bat at home plate in front of the umpire and catcher.,A professional baseball game and the left handed batter has just let the pitch go by.,The name of the action.,2
An old man turning up a glass in front of a bar of wine glasses.,"A selection of wines on a table and in a bin, with wine glasses on the table next to them. ",The position of glass.,5
An old man turning up a glass in front of a bar of wine glasses.,"A selection of wines on a table and in a bin, with wine glasses on the table next to them. ",The wine glasses.,3
In this picture a blurry transit bus can be seen going down the street.,A bus in a parking lot with a double decker bus to the side.,The activity of object.,3
In this picture a blurry transit bus can be seen going down the street.,A bus in a parking lot with a double decker bus to the side.,The object.,2
"The inside of a train cabin room with curved sides with four padded armchairs and two captain style wood chairs, on at a desk with control panel, a door and windows.","A large living room area features a couch, a wood coffee table and a small dining room table in front of three windows.",The type of place.,3
"The inside of a train cabin room with curved sides with four padded armchairs and two captain style wood chairs, on at a desk with control panel, a door and windows.","A large living room area features a couch, a wood coffee table and a small dining room table in front of three windows.",The living area.,2
A mirror shot of a dog riding in the car with its head out the window.,A dog looking out the back window of a vehicle as seen the side mirror.,The type of animal.,5
A mirror shot of a dog riding in the car with its head out the window.,A dog looking out the back window of a vehicle as seen the side mirror.,Where the dog is visible from.,3
a purple sofa and loveseat  a gray chair and a man sitting in the corner at a desk,An eclectically styled living room looks very comfortable and is well lit; a dog is curled up sleeping on one of the couches.,The type of room.,4
a purple sofa and loveseat  a gray chair and a man sitting in the corner at a desk,An eclectically styled living room looks very comfortable and is well lit; a dog is curled up sleeping on one of the couches.,The species of the one who's in the room.,1
A black and yellow computer mouse next to a keyboard and a yellow light in the background.,A small section of a computer desk with a few different types of mice on it.,The color of computer.,3
A black and yellow computer mouse next to a keyboard and a yellow light in the background.,A small section of a computer desk with a few different types of mice on it.,The computer with mouse.,3
"A man and woman sitting in a booth together and eating dessert, with beverage glasses on the table.",Three people sitting at a table at a restaurant with plates in front of them.,The number of people.,4
"A man and woman sitting in a booth together and eating dessert, with beverage glasses on the table.",Three people sitting at a table at a restaurant with plates in front of them.,The reason for the gathering.,4
"A street pole with a street sign on it that says B 86 Street, and a lamp post in the distance.",a green tall street lantern sits next to a one-way and 11th street sign with a rainbow across the bottom of it.,The object's function.,4
"A street pole with a street sign on it that says B 86 Street, and a lamp post in the distance.",a green tall street lantern sits next to a one-way and 11th street sign with a rainbow across the bottom of it.,The sign's label.,2
Dining room area with a stove and a small dining area in front of a window.,"The kitchen has an oven, refrigerator, cupboards, and a cabinet that contains a toaster oven, electric mixer, water pitcher, and cooking utensils.",The type of room.,4
Dining room area with a stove and a small dining area in front of a window.,"The kitchen has an oven, refrigerator, cupboards, and a cabinet that contains a toaster oven, electric mixer, water pitcher, and cooking utensils.",The amount of stoves/ovens.,2
The desk is full of paperwork and books to work on near the computers,a desk with a laptop and a computer monitor sitting next to each other,The number of computers.,4
The desk is full of paperwork and books to work on near the computers,a desk with a laptop and a computer monitor sitting next to each other,The desk.,4
A tub is sitting in the middle of the room while the curtains are drawn open.,Big bed with a roof has a mirror on the center of bed roof,The type of building.,4
A tub is sitting in the middle of the room while the curtains are drawn open.,Big bed with a roof has a mirror on the center of bed roof,The type of room.,1
A bicycle and a tricycle decorated with flowers in front of a florists shop.,Several bicycles are parked next to the window of a brown brick building that has flower boxes on the window.,The building's purpose.,3
A bicycle and a tricycle decorated with flowers in front of a florists shop.,Several bicycles are parked next to the window of a brown brick building that has flower boxes on the window.,The number of vehicles.,2
"A hotel bedroom with a full-size bed, yellow linens, a reading lamp, and a chair by the curtained window.",a large bed sitting in front of a window with a dresser and lamps beside it,The room's function.,5
"A hotel bedroom with a full-size bed, yellow linens, a reading lamp, and a chair by the curtained window.",a large bed sitting in front of a window with a dresser and lamps beside it,The objects near the bed.,1
A cake that has been cut in pieces and put on plates with forks and a sucker.,a piece of cake sitting on a plate with a fork and nothing else,The number of dish.,4
A cake that has been cut in pieces and put on plates with forks and a sucker.,a piece of cake sitting on a plate with a fork and nothing else,The dish.,3
A girl standing in a boat resting her arm on an elephant who is passing by.,A woman sits on a brick platform while two elephants are in the distance on the grass.,The person's gender.,4
A girl standing in a boat resting her arm on an elephant who is passing by.,A woman sits on a brick platform while two elephants are in the distance on the grass.,The person's age.,1
A girl is cooking in a kitchen and a man is standing next to her.,One lady wearing a tunic top is standing alongside while another in an apron prepares food.,The number of people.,5
A girl is cooking in a kitchen and a man is standing next to her.,One lady wearing a tunic top is standing alongside while another in an apron prepares food.,The kitchen.,4
"A desk is spread with an open laptop, printer, notes, and other office supplies.","A coffee table has a laptop, mp3 player, books, stapler and paper lying on it.",The table.,5
"A desk is spread with an open laptop, printer, notes, and other office supplies.","A coffee table has a laptop, mp3 player, books, stapler and paper lying on it.",The number of object.,4
A man and a woman are looking out the window of a double deck bus.,A double decker bus in London has stopped to pick up and drop off people.,The activity of people.,2
A man and a woman are looking out the window of a double deck bus.,A double decker bus in London has stopped to pick up and drop off people.,The number of people.,1
A man holding a racquet prepares to serve the ball while the crowd watches.,A tennis player is holding his hand up to guard himself from the flying ball.,The action of player.,4
A man holding a racquet prepares to serve the ball while the crowd watches.,A tennis player is holding his hand up to guard himself from the flying ball.,The player playing the game.,2
Two people are loading dishes into a dishwasher with one tray of dishes on the floor.,Marble counter top and stainless steel dishwasher and sink run along one wall of a kitchen.,The dishwasher.,4
Two people are loading dishes into a dishwasher with one tray of dishes on the floor.,Marble counter top and stainless steel dishwasher and sink run along one wall of a kitchen.,The clean.,2
female tennis player jumping off the ground and swinging racket in front of an audience,A young lady dressed in white playing tennis while the ball girl retrieves a tennis ball behind her.,The sport being played.,4
female tennis player jumping off the ground and swinging racket in front of an audience,A young lady dressed in white playing tennis while the ball girl retrieves a tennis ball behind her.,The number of people.,1
Black and white close up of the feet for a skateboarder doing a trick.,A skateboard flying through the air and a person preparing to land on the skateboard.,The item that is being used.,5
Black and white close up of the feet for a skateboarder doing a trick.,A skateboard flying through the air and a person preparing to land on the skateboard.,The location of the person relative to the ground.,2
A male tennis player on a court with a tennis racket in the foreground.,The man in the red shirt is going to hit the ball with his racket.,What is in the man's hand.,5
A male tennis player on a court with a tennis racket in the foreground.,The man in the red shirt is going to hit the ball with his racket.,Proximity of player to ball.,5
A number of locomotive train engines and cars on multiple set of train tracks.,A blue and yellow train passing under a large tree with factories in the background.,The name of the vehicle.,4
A number of locomotive train engines and cars on multiple set of train tracks.,A blue and yellow train passing under a large tree with factories in the background.,The color of the vehicle.,4
A burgundy tie with small white dots is worn with a dark cherry red shirt.,A man wearing a suit and tie holding his arm up to his chest.,The type of the wearings.,5
A burgundy tie with small white dots is worn with a dark cherry red shirt.,A man wearing a suit and tie holding his arm up to his chest.,The number of persons.,5
A grey refrigerator is set between a counter top and a washer and dryer.,A stainless steel fridge sitting in a kitchen that appears to be very nice.,The appliance.,5
A grey refrigerator is set between a counter top and a washer and dryer.,A stainless steel fridge sitting in a kitchen that appears to be very nice.,The finishing color.,2
a bare bathroom with a sink and a bathtub and one wooden cabinet underneath the ink.,A bathroom is tan and white in color and it has a tub and shower.,The name of the place.,3
a bare bathroom with a sink and a bathtub and one wooden cabinet underneath the ink.,A bathroom is tan and white in color and it has a tub and shower.,The color of the place.,2
A bicycle with a surf board attached to it parked next to another bike.,"Two bikes are sitting near a building with one being blue, and the other is orange. ",The number of bicycles.,5
A bicycle with a surf board attached to it parked next to another bike.,"Two bikes are sitting near a building with one being blue, and the other is orange. ",The location of the bicycles.,2
A MALE WITH A YELLOW SHIRT AND WHITE SHORTS PLAYING A GAME OF TENNIS,A women throwing up a ball to hit it with a tennis racket .,The game being played.,3
A MALE WITH A YELLOW SHIRT AND WHITE SHORTS PLAYING A GAME OF TENNIS,A women throwing up a ball to hit it with a tennis racket .,The activity differ.,3
"A heavily decorated bedroom features a white bedspread, chandelier, lamps, case, animal print pillows, and there is a door open to another room.","The hotel room has two large beds, a desk, a flat screen tv and a lot of space.",The type of objects.,2
"A heavily decorated bedroom features a white bedspread, chandelier, lamps, case, animal print pillows, and there is a door open to another room.","The hotel room has two large beds, a desk, a flat screen tv and a lot of space.",The living room of person.,2
The water tank for the toilet is separate from the toilet and is in a corner.,A bathroom that has a white toilet and white sink next to a glass doot shower.,The relative location of the toilet within the bathroom.,5
The water tank for the toilet is separate from the toilet and is in a corner.,A bathroom that has a white toilet and white sink next to a glass doot shower.,The type of room.,4
A closeup view of a pizza on a table with a beer behind it.,A pizza sitting on top of a wooden cutting board on top of a table.,Where the food is positioned.,4
A closeup view of a pizza on a table with a beer behind it.,A pizza sitting on top of a wooden cutting board on top of a table.,The type of food involved.,4
An elephant that is playing with an object that is hanging from above it.,An elephant standing on its hind legs dropping a basketball through the hoop with its trunk.,The animal.,5
An elephant that is playing with an object that is hanging from above it.,An elephant standing on its hind legs dropping a basketball through the hoop with its trunk.,The activity of animal.,5
"A laptop, camera, bag, hand held video gaming device and other items sitting on a couch.",a table with many items on it including an ipod ear buds and pens,The activity of the object.,2
"A laptop, camera, bag, hand held video gaming device and other items sitting on a couch.",a table with many items on it including an ipod ear buds and pens,The name of the object.,1
there is a large pie on a white plate and a bowl next to it,a plate with a piece of cake and a pat of butter with a fork,The type of meal.,5
there is a large pie on a white plate and a bowl next to it,a plate with a piece of cake and a pat of butter with a fork,The type of food.,2
A guy in pink shorts prepares to hit a tennis ball with a racket.,"A man with a tennis racket serving a tennis ball, on a hard surface tennis court.",The sport.,5
A guy in pink shorts prepares to hit a tennis ball with a racket.,"A man with a tennis racket serving a tennis ball, on a hard surface tennis court.",The color of object.,4
Kitchen scene light brown wood wood counter tops and floor with mostly brown dog with white accents.,A kitchen has cabinet doors ajar and a view of  grass outside the window.,The material of the objects.,3
Kitchen scene light brown wood wood counter tops and floor with mostly brown dog with white accents.,A kitchen has cabinet doors ajar and a view of  grass outside the window.,The type of room.,3
A smiling lady holding food in her hand towards a large giraffe looming over her.,a woman looking into the camera while a giraffe goes for a leaf to eat,The animal.,2
A smiling lady holding food in her hand towards a large giraffe looming over her.,a woman looking into the camera while a giraffe goes for a leaf to eat,The size of animal.,2
"On this table there is tea cups and saucers, plates, pastries, and a vase with flowers.",Looking down on a table with two people sitting at the table having cake and hot beverages.,The type of meal.,4
"On this table there is tea cups and saucers, plates, pastries, and a vase with flowers.",Looking down on a table with two people sitting at the table having cake and hot beverages.,The number of objects.,3
A pretty young lady laying back on a red couch holding her hairless cat.,"A woman dressed in a sweater and jeans, sitting on a futon couch with a cat in her lap",The type of the wearings.,3
A pretty young lady laying back on a red couch holding her hairless cat.,"A woman dressed in a sweater and jeans, sitting on a futon couch with a cat in her lap",The gender of the persons.,2
A man standing on top of a tennis court next to a small crowd.,a tennis player tenses his body as he gets ready to swing at an approaching tennis ball,The name of the game.,5
A man standing on top of a tennis court next to a small crowd.,a tennis player tenses his body as he gets ready to swing at an approaching tennis ball,The number of player.,4
"Big Ben displays the time in London, with the flag of the United Kingdom.",A huge ornate building and a tower with a clock next to the water.,The type of tower.,3
"Big Ben displays the time in London, with the flag of the United Kingdom.",A huge ornate building and a tower with a clock next to the water.,The number of flags.,3
A man who is tying his shoes while resting his foot on a skateboard.,A persons foot down on one end of a skateboard keeping the other end in the air.,The number of people.,4
A man who is tying his shoes while resting his foot on a skateboard.,A persons foot down on one end of a skateboard keeping the other end in the air.,The sport.,4
A table topped with a white plate of food next to a bowl with a spoon.,The two plates of food have many different items including rice and diced carrots.,The presence of plate.,4
A table topped with a white plate of food next to a bowl with a spoon.,The two plates of food have many different items including rice and diced carrots.,The number of plates.,4
A room that has white walls and a window shade up has a double unmade bed on the floor.,A bed appears to have nothing else on it except two pillow in a bedroom.,What is on the bed.,4
A room that has white walls and a window shade up has a double unmade bed on the floor.,A bed appears to have nothing else on it except two pillow in a bedroom.,Type of room.,2
"A bed with white sheets and pillow, and a box of tissue on the headboard.",A bedroom with a bed and a nightstand that has a red phone and a lamp on it.,The name of the objects.,3
"A bed with white sheets and pillow, and a box of tissue on the headboard.",A bedroom with a bed and a nightstand that has a red phone and a lamp on it.,The color of the sheets.,1
a close up of a vase in front of a clock on a desk,A black clock on a wall with a black and white decor item below it.,The name of the object.,4
a close up of a vase in front of a clock on a desk,A black clock on a wall with a black and white decor item below it.,The color of clock.,2
A plate with the remains of a sandwich and broccoli in front of a girl wearing a Hello Kitty shirt.,The carrots were laying on the plate next to the rest of the meal.,Type of vegetable.,5
A plate with the remains of a sandwich and broccoli in front of a girl wearing a Hello Kitty shirt.,The carrots were laying on the plate next to the rest of the meal.,Type of dish.,4
A group of cute stuffed animals sit on a shelf next to a mint green wall.,three stuffed bears one is brown one is tan and the small one is white,The animal.,4
A group of cute stuffed animals sit on a shelf next to a mint green wall.,three stuffed bears one is brown one is tan and the small one is white,The number of animal.,3
A busy street with many business off to the side with a large clock.,A group of people walking on a walkway filled with clocks mounted on poles.,The action of people.,2
A busy street with many business off to the side with a large clock.,A group of people walking on a walkway filled with clocks mounted on poles.,The people on street.,1
A shiny new racket looks down upon the worn shoes of a tennis player.,A guy playing tennis in a city court is about to hit the ball.,The name of the game.,4
A shiny new racket looks down upon the worn shoes of a tennis player.,A guy playing tennis in a city court is about to hit the ball.,The name of the ground.,4
Two women with one pointing at a phone while the other is holding it.,A girl in a red t-shirt sits next to a girl in a white shirt and they hold white remotes.,The person's gender.,5
Two women with one pointing at a phone while the other is holding it.,A girl in a red t-shirt sits next to a girl in a white shirt and they hold white remotes.,The person's age.,1
"The items displayed, including a book, wires, notebooks, and cell phone, could all fit into a well-organized laptop case.  ","A backpack, laptop, mouse, power cord, head phones, flash drive, dvd and other items.",The name of the object.,4
"The items displayed, including a book, wires, notebooks, and cell phone, could all fit into a well-organized laptop case.  ","A backpack, laptop, mouse, power cord, head phones, flash drive, dvd and other items.",The number of object.,2
A cat playing with a drip of water from a faucet in a sink.,A black and white cat sitting on to of a table drinking from a glass.,The color of the animal.,5
A cat playing with a drip of water from a faucet in a sink.,A black and white cat sitting on to of a table drinking from a glass.,The name of the animal.,2
Woman in mid motion of hitting the tennis ball back to the other side,"The girl looking up for the tennis ball, and ready to hit the ball.",The  name of the action.,4
Woman in mid motion of hitting the tennis ball back to the other side,"The girl looking up for the tennis ball, and ready to hit the ball.",The name of the game.,4
A cat sitting in a sink beside a cup with a toothbrush in it.,The grey and white cat is standing inside of the toilet bowl full of cat litter.,The type of animal.,5
A cat sitting in a sink beside a cup with a toothbrush in it.,The grey and white cat is standing inside of the toilet bowl full of cat litter.,Where the animal sits.,2
Half a sandwich sits with a brownie and cookies on a white plate near a white cup.,A blue plate with a piece of cake on top of it next to a cup of coffee.,The name of the dish.,1
Half a sandwich sits with a brownie and cookies on a white plate near a white cup.,A blue plate with a piece of cake on top of it next to a cup of coffee.,The color of the plate.,1
A cat is sitting on a chair with its head turned to the side.,A dark grey cat is lounging on the sofa while staring angrily at the camera.,The type of animal.,5
A cat is sitting on a chair with its head turned to the side.,A dark grey cat is lounging on the sofa while staring angrily at the camera.,The animal's demeanor.,2
A person bundled up in the snow and wearing skis at a ski lift.,A boy holds a pair of skis while a man stands nearby holding a pole.,The person's hobby.,2
A person bundled up in the snow and wearing skis at a ski lift.,A boy holds a pair of skis while a man stands nearby holding a pole.,The number of people.,1
A cellphone on the edge of a wooden table with a plant growing out of it.,An AT&T cell phone on a counter with a statue of Jesus and a travel mug,The type of device.,5
A cellphone on the edge of a wooden table with a plant growing out of it.,An AT&T cell phone on a counter with a statue of Jesus and a travel mug,The objects near the device.,2
A deep dish pizza in a metal pan topped with several kinds of toppings.,"The margarita pizza is on a plate, and ready to be cut and served.",The pizza type.,5
A deep dish pizza in a metal pan topped with several kinds of toppings.,"The margarita pizza is on a plate, and ready to be cut and served.",The food.,2
A red traffic light at a snowy corner with Christmas lights in the distance.,a busy street intersection at dusk with all of the cars with their headlights on,The name of the object.,3
A red traffic light at a snowy corner with Christmas lights in the distance.,a busy street intersection at dusk with all of the cars with their headlights on,The color of the traffic light.,3
A black and white photo of a small passenger plane with two men talking together beside of it.,This is a model airplane shown against an illustration of an aerial view of the earth.,The size of the object.,4
A black and white photo of a small passenger plane with two men talking together beside of it.,This is a model airplane shown against an illustration of an aerial view of the earth.,The style of conveyance.,4
A vase sitting on a table near some chairs and in front of some nicnacs and a lamp.,"A room with two large red chairs, a fireplace mantal, flatscreen television and multiple bookshelves with various books.",The properties in room.,5
A vase sitting on a table near some chairs and in front of some nicnacs and a lamp.,"A room with two large red chairs, a fireplace mantal, flatscreen television and multiple bookshelves with various books.",The place living room.,4
Lady with back to the camera and let up in the air playing tennis.,A tennis player from the Ukraine leaping into the air as she swings her racquet.,The sport.,5
Lady with back to the camera and let up in the air playing tennis.,A tennis player from the Ukraine leaping into the air as she swings her racquet.,The number of people.,4
there is a car that has zebra print and small toy animals on the hood,A car parked on the side of the road with toys and paint glued on top of it.,The toys.,3
there is a car that has zebra print and small toy animals on the hood,A car parked on the side of the road with toys and paint glued on top of it.,The car.,3
"A plate has a meal of a toasted sandwich, spinach leaves, and apple slices.",A white plate topped with two grilled sandwiches next to a pile of fries.,The flattest object.,5
"A plate has a meal of a toasted sandwich, spinach leaves, and apple slices.",A white plate topped with two grilled sandwiches next to a pile of fries.,The nutritional value of side dishes.,3
A light on a pole with a chain hanging from it beside a blue door,A street light that is displaying a red light with the figure of a person.,The place.,5
A light on a pole with a chain hanging from it beside a blue door,A street light that is displaying a red light with the figure of a person.,The color of object.,1
a person bending down on his skate board to use the ground for balance,a boy jumping in the air with a skateboard above a skateboard park obstacle course.,The name of sport.,5
a person bending down on his skate board to use the ground for balance,a boy jumping in the air with a skateboard above a skateboard park obstacle course.,The position of riding.,2
A room with a wooden table surrounded by chairs and a dog laying on the floor.,Porcelain sinks lined up in one room with two men sitting in the next.,The activity.,5
A room with a wooden table surrounded by chairs and a dog laying on the floor.,Porcelain sinks lined up in one room with two men sitting in the next.,The animal.,4
A slice of cake on a  plate next to a puddle of whipped cream.,a close up of a plate of food with a banana on a table,The object's function.,4
A slice of cake on a  plate next to a puddle of whipped cream.,a close up of a plate of food with a banana on a table,The type of food.,1
A close up of a busy bus stop with many buses in the area.,Two orange buses are parked side by side in a lot outside a building,The number of vehicles.,4
A close up of a busy bus stop with many buses in the area.,Two orange buses are parked side by side in a lot outside a building,The type of vehicle.,4
One horse has its mouth on the ground and the other horse is facing the opposite direction of the first.,Two brown horses standing next to each other on a green grass covered field.,The color of the animal.,4
One horse has its mouth on the ground and the other horse is facing the opposite direction of the first.,Two brown horses standing next to each other on a green grass covered field.,The name of the animal.,3
A large green and white double decker bus parked to another green and white double decker bus.,A bus is driving out of a parking lot and getting on the main road.,The color of the bus.,3
A large green and white double decker bus parked to another green and white double decker bus.,A bus is driving out of a parking lot and getting on the main road.,The automobile.,2
two females with hats riding horses a black and white one and a brown and white one,A woman wearing a plaid shirt and cowboy had rides a brown horse in an arena.,The animal.,5
two females with hats riding horses a black and white one and a brown and white one,A woman wearing a plaid shirt and cowboy had rides a brown horse in an arena.,The color of animal.,4
A girl is sitting against the wall with her skateboard and some boys are standing around.,A boy in a cap and jeans rides a skateboard on the rim of a ramp.,The skateboard.,5
A girl is sitting against the wall with her skateboard and some boys are standing around.,A boy in a cap and jeans rides a skateboard on the rim of a ramp.,The number of people.,2
"Dinner is set, lots of vegetables in bowls cover a table with place settings of white plates and chopsticks.",A snack tray of raw vegetables are served with 2 different things to dip them in.,The vegetables.,4
"Dinner is set, lots of vegetables in bowls cover a table with place settings of white plates and chopsticks.",A snack tray of raw vegetables are served with 2 different things to dip them in.,The vessel.,2
"a work desk filled with several objects including a computer monitor, keyboard, mouse and laptop, and an office phone",A leather jacket on the back of a chair in a cluttered desk area.,The object.,4
"a work desk filled with several objects including a computer monitor, keyboard, mouse and laptop, and an office phone",A leather jacket on the back of a chair in a cluttered desk area.,The number of object.,3
A orange and cream colored double layered bus is on a lane near white buildings.,Two red double decked buses are parked by a curb while another goes down the street.,The objects are buses.,2
A orange and cream colored double layered bus is on a lane near white buildings.,Two red double decked buses are parked by a curb while another goes down the street.,One of the objects are parked.,2
a rider on a motorcycle gives a thumbs up as he drives on a street,A motorcyce parked on the side of a road and driver walking across the road,The activity of people.,5
a rider on a motorcycle gives a thumbs up as he drives on a street,A motorcyce parked on the side of a road and driver walking across the road,The sport.,4
"People at a ski lift, with people off to the side one leaning down in the snow.",A skier in a green ski jacket is skiing on the snow and in the distance is a parked car.,The type of sport.,3
"People at a ski lift, with people off to the side one leaning down in the snow.",A skier in a green ski jacket is skiing on the snow and in the distance is a parked car.,The number of people.,2
close up of a plate with food on it and wine glasses near by,"A place setting on a table with two forks, plate, two bowls and wine glasses.",Presence of wine glass.,4
close up of a plate with food on it and wine glasses near by,"A place setting on a table with two forks, plate, two bowls and wine glasses.",Presence of food.,2
A group of men in bathing suits next to an airplane boat in the water.,Airplanes are in the water at the beach while men stand on the shore.,The airplanes.,3
A group of men in bathing suits next to an airplane boat in the water.,Airplanes are in the water at the beach while men stand on the shore.,The activity.,3
A view of a baby's room with a pink carpet and a white crib with red and white sheets.,"A bedroom with a bed with blue cover and blue curtains, and a pair of shoes on the wooden floor.",The color of the object.,4
A view of a baby's room with a pink carpet and a white crib with red and white sheets.,"A bedroom with a bed with blue cover and blue curtains, and a pair of shoes on the wooden floor.",The name of the place.,3
"Older men sitting on wooden benches on a sidewalk together, with scooters parked in the street and stores across the street.",There are people looking at a booth and a woman and man in a wheelchair on the sidewalk.,The gender of the people.,5
"Older men sitting on wooden benches on a sidewalk together, with scooters parked in the street and stores across the street.",There are people looking at a booth and a woman and man in a wheelchair on the sidewalk.,The posture of the people.,3
"With their necks entwined in an embrace, two zebras stand in a brown, grass field.",A group of zebras are standing in a clearing with a young zebra beside the mother.,The name of the animal.,5
"With their necks entwined in an embrace, two zebras stand in a brown, grass field.",A group of zebras are standing in a clearing with a young zebra beside the mother.,The activity of the animal.,5
